iter	MultiClass
0	1.32294006
1	1.279705298
2	1.242855736
3	1.212989834
4	1.186862654
5	1.170470768
6	1.152280655
7	1.141216176
8	1.12712289
9	1.118075044
10	1.107738401
11	1.100214982
12	1.09222621
13	1.085228244
14	1.079744105
15	1.074805129
16	1.070301405
17	1.066568184
18	1.06221038
19	1.058826907
20	1.053553157
21	1.049674288
22	1.04607435
23	1.042685851
24	1.038094347
25	1.035825982
26	1.032762516
27	1.029774784
28	1.026811259
29	1.022756212
30	1.020867971
31	1.018506736
32	1.016178023
33	1.014734426
34	1.012857429
35	1.011443043
36	1.00973626
37	1.007820779
38	1.006352585
39	1.004675873
40	1.002903108
41	1.000351927
42	0.9987792338
43	0.9972740251
44	0.9959486927
45	0.9938993544
46	0.9926791108
47	0.9914896213
48	0.9902518089
49	0.9880854427
50	0.9865877367
51	0.9856104777
52	0.9841876427
53	0.9826606612
54	0.9810050265
55	0.9798378741
56	0.9780096897
57	0.9766265622
58	0.9747644961
59	0.973564061
60	0.9720234223
61	0.9711926886
62	0.9703604937
63	0.9695498463
64	0.9684985326
65	0.966970443
66	0.9654301608
67	0.9642130982
68	0.9630010583
69	0.9617756938
70	0.9609064428
71	0.9600318485
72	0.9579975213
73	0.9569889733
74	0.9562213161
75	0.9555125102
76	0.9543986139
77	0.9534020311
78	0.9526247769
79	0.9515730148
80	0.950388705
81	0.9492598292
82	0.9480966216
83	0.9469201077
84	0.9459387478
85	0.9449013699
86	0.9438037013
87	0.9429120212
88	0.9420705048
89	0.9405284493
90	0.9393347752
91	0.9377007271
92	0.9362215724
93	0.9349151218
94	0.9342000163
95	0.9330813205
96	0.9319837516
97	0.9308319832
98	0.9299340394
99	0.9289040847
100	0.9274855109
101	0.9264760627
102	0.92490215
103	0.9238233711
104	0.9230583933
105	0.9220606449
106	0.9210798001
107	0.9198604289
108	0.91881391
109	0.9183164916
110	0.9176854897
111	0.9161385735
112	0.9153021763
113	0.9144696479
114	0.913499244
115	0.9128678365
116	0.9121099228
117	0.911244979
118	0.9103790578
119	0.9092177454
120	0.9084661737
121	0.9071499588
122	0.9061422798
123	0.9053604943
124	0.9045936507
125	0.903905389
126	0.9030662418
127	0.9024981157
128	0.9017365934
129	0.9004620728
130	0.8998275711
131	0.8986877561
132	0.8976963125
133	0.8970285114
134	0.8959259938
135	0.8950861796
136	0.8945772355
137	0.8939009617
138	0.8929696296
139	0.8923942473
140	0.8913520161
141	0.8908666709
142	0.8901782798
143	0.8898309951
144	0.8894532706
145	0.8882183719
146	0.887317498
147	0.8865855536
148	0.8857705528
149	0.8848608996
150	0.8843703083
151	0.8838151853
